,movieCd,story,poster,link,video,movieNm,director,actor1,actor2,actor3,repNationNm,repGenreNm,showTm,watchGradeNm,openDt,index,prediction,realValue,accuracy,predictionGraph,D0_prediction,D0_realValue,D0_accuracy
0,20179086,지상 최대의 테마파크 ‘쥬라기 월드’가 폐쇄된 이후 화산 폭발 조짐이 일어나자 <br/>?오웬(크리스 프랫)과 클레어(브라이스 달라스 하워드)는 공룡들의 멸종을 막기 위해<br/>?이슬라누블라 섬으로 떠난다.<br/>?<br/>?한편  진화된 공룡들을 이용하려는 세력의 거대한 음모가 드러나고 <br/>?절대 지상에 존재해선 안될 위협적 공룡들이 마침내 세상 밖으로 등장하게 되는데…<br/>?<br/>?공룡들의 세상이 돌아온다!,https://movie-phinf.pstatic.net/20180814_31/1534222196427nyBw8_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/v8602lGLGLta4N2JcJlacRl@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,미국,액션,127분,12세이상관람가,2018.06.06,0,5449961,5661128,96.27,test_plt_0.png,06_500up 600down,06_500up 600down,TRUE
1,20179383,의문의 폭발 사고 후 <br/>?오랫동안 마약 조직을 추적해온 형사 ‘원호’(조진웅)의 앞에<br/>?조직의 후견인 ‘오연옥’(김성령)과 버림받은 조직원 ‘락’(류준열)이 나타난다.<br/>?그들의 도움으로 아시아 마약 시장의 거물 ‘진하림’(김주혁)과 <br/>?조직의 숨겨진 인물 ‘브라이언’(차승원)을 만나게 되면서<br/>?그 실체에 대한 결정적 단서를 잡게 되는데…<br/>?<br/>?끝까지 의심하라!<br/>?독한 자들의 전쟁이 시작된다!,https://movie-phinf.pstatic.net/20180716_246/1531720328953yeuAD_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/v6894rKYAYRRKkQKQKQFntQ@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,독전,이해영,조진웅,류준열,김주혁,한국,범죄,123분,15세이상관람가,2018.05.22,1,5032541,5063433,99.39,test_plt_1.png,06_500up 600down,06_500up 600down,TRUE
2,20176848,암치료를 위한 비밀 실험에 참여한 후 <br/>?강력한 힐링팩터 능력을 지닌 슈퍼히어로 데드풀로 거듭난 웨이드 윌슨(라이언 레놀즈) <br/>?운명의 여자친구 바네사(모레나 바카린)와 행복한 미래를 꿈꾸지만 다시 나락으로 떨어지고 <br/>?밑바닥까지 내려간 데드풀은 더 나은 사람이 되기로 결심한다.<br/>?<br/>?어느 날  미래에서 시간 여행이 가능한 용병 케이블(조슈 브롤린)이 찾아 오면서<br/>?새로운 사건이 발생하고 데드풀은 생각지도 못한 기상천외 패밀리를 결성하게 되는데...,https://movie-phinf.pstatic.net/20180510_219/1525934615322rulbv_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/v67feataY8F8wEtGOtrwsGg@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,데드풀 2,데이빗 레이치,라이언 레놀즈,조슈 브롤린,재지 비츠,미국,액션,117분,청소년관람불가,2018.05.16,2,3687633,3784602,97.44,test_plt_2.png,04_300up 400down,04_300up 400down,TRUE
3,20178161,"역대급 미제 사건을 해결한 추리 콤비  셜록 덕후 만화방 주인 ‘강대만’(권상우)과 광역수사대 레전드 형사 ‘노태수’(성동일)! 드디어 대한민국 최초 탐정사무소를 개업하고  전직 사이버 수사대 에이스 ‘여치’(이광수)까지 영입하며 탐정으로서의 첫 발을 내딛는다.<br/>?<br/>?하지만 꿈과 현실은 다른 법! 기다리는 사건 대신 파리만 날리고  생활비 압박에 결국 경찰서까지 찾아가 몰래 영업을 뛰기 시작한다.<br/>?<br/>?드디어 기다림 끝에 찾아온 첫 의뢰인. 게다가 성공보수는 무려 5천만 원! 자신만만하게 사건을 받아 든 세 사람은 파헤칠수록 꼬리에 꼬리를 무는 의심스러운 증거들로 혼란에 빠지기 시작하는데…<br/>?<br/>?""우리가 가는 길 미제사건이란 없다""<br/>?최강 트리플 콤비의 본격 추리가 시작된다!",https://movie-phinf.pstatic.net/20180525_232/15272144254888eehd_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/v4147VIO6wEeIaGsNmNEVmO@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,탐정: 리턴즈,이언희,권상우,성동일,이광수,한국,코미디,116분,15세이상관람가,2018.06.13,3,3089810,3152872,98,test_plt_3.png,05_400up 500down,04_300up 400down,FALSE
4,20184903,전 애인의 배신으로 5년간 감옥에서 썩은 ‘데비 오션’(산드라 블록)은 가석방되자마자 <br/>?믿음직한 동료 ‘루’(케이트 블란쳇)와 함께 새로운 작전을 계획한다. <br/>?그들의 목표는 바로  뉴욕 메트로폴리탄 박물관에서 열리는 미국 최대 패션 행사인 <br/>?메트 갈라에 참석하는 톱스타 ‘다프네’(앤 해서웨이)의 목에 걸린 1천 5백억 원의 다이아몬드 목걸이를 훔치는 것! <br/>?디자이너부터 보석전문가  소매치기와 해커까지  전격 결성된 각 분야 전문가들이 마침내 실행에 나서는데…<br/>?<br/>?기가 막힌 작전  그 뒤에 또 다른 목적<br/>?화끈하게 훔치고 시원하게 갚는다!,https://movie-phinf.pstatic.net/20180523_198/1527043468389JEplc_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/vec47SuTiX1q1Ni2Kqqdydd@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,오션스8,게리 로스,산드라 블록,케이트 블란쳇,앤 해서웨이,미국,액션,110분,12세이상관람가,2018.06.13,4,1315106,1335829,98.45,test_plt_4.png,02_100up 200down,02_100up 200down,TRUE
5,20189783,미국 로스엔젤레스  한 때 팔씨름 세계 챔피언을 꿈꿨지만 <br/>?지금은 클럽에서 일하는 ‘마크’(마동석)는<br/>?자칭 최고의 스포츠 에이전트 ‘진기’(권율)의 설득에 한국으로 돌아온다.<br/>?<br/>?“나한테는 팔씨름 밖에 없었어… 나 믿어!”<br/>?멈췄던 팔뚝이 다시 뛰기 시작한 ‘마크’.<br/>?'진기'에게서 귀국 선물(?)로 받은 오래 전 헤어진 엄마 주소를 찾아가지만  <br/>?그곳엔 엄마 대신 본 적 없는 여동생 ‘수진’(한예리)과 <br/>?두 아이 ‘쭌쭌남매’가 떡하니 살고 있는데…<br/>?<br/>?잡는 순간 모두 넘긴다! <br/>?챔피언을 향한 어메이징 뒤집기 한 판이 시작된다!,https://movie-phinf.pstatic.net/20180424_250/152454601292350zFi_JPEG/movie_image.jpg?type=m203_290_2, ,https://kakaotv.daum.net/embed/player/cliplink/vaaf6EfkEPWPE2xWi7x7iTf@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,챔피언,김용완,마동석,권율,한예리,한국,드라마,108분,12세이상관람가,2018.05.01,5,1090973,1128774,96.65,test_plt_5.png,02_100up 200down,02_100up 200down,TRUE
6,20177005,과거 레슬링 국가대표였지만 <br/>?특기는 살림  취미는 아들 자랑  남은 것은 주부 습진뿐인 프로 살림러 ‘귀보’(유해진). <br/>?그의 유일한 꿈은 촉망받는 레슬러 아들 ‘성웅’(김민재)이 금메달리스트가 되는 것이다. <br/>?<br/>?오늘도 자신은 찬밥을 먹으며 아들에게는 따뜻한 아침밥을 챙겨주고<br/>?레슬링 체육관에서 아줌마들에게 신나게 에어로빅을 가르치던 ‘귀보’는<br/>?국가대표 선발전을 앞두고 훈련에 나가지 않겠다는 ‘성웅’의 청천벽력 같은 이야길 듣게 된다.<br/>?<br/>?갑작스런 아들의 반항에 당황한 귀보. 설상가상으로 ‘엄마’(나문희)의 잔소리는 더욱 거세지고  <br/>?윗집 이웃이자 성웅의 소꿉친구 ‘가영’(이성경)은 귀보에게 엉뚱한 고백을 쏟아낸다. <br/>?거기에 소개팅으로 만난 의사 ‘도나’(황우슬혜)의 막무가내 대시까지. <br/>?평화롭던 일상이 순식간에 뒤집힌 귀보씨는 혼란에 빠지기 시작하는데…<br/>?<br/>?전직 레슬러에서 프로 살림러가 된 지 20년<br/>?평화롭던 귀보씨의 일상이 유쾌하게 뒤집힌다!</p>,https://movie-phinf.pstatic.net/20180430_206/1525051757819QHWi9_JPEG/movie_image.jpg?type=m203_290_2,https://movie-phinf.pstatic.net/20180430_206/1525051757819QHWi9_JPEG/movie_image.jpg?type=m203_290_3,https://kakaotv.daum.net/embed/player/cliplink/v98da2ShtlthdquggSNuQHV@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,레슬러,김대웅,유해진,김민재,이성경,한국,드라마,109분,15세이상관람가,2018.05.09,6,785398,771141,98.15,test_plt_6.png,02_100up 200down,01_50up 100down,FALSE
7,20185341,10년 전 의문의 사고가 일어난 시설에서 홀로 탈출한 후 모든 기억을 잃은 ‘자윤’. <br/>?나이도  이름도 모르는 자신을 거두고 키워준 노부부의 보살핌으로 <br/>?씩씩하고 밝은 여고생으로 자라났다. <br/>?<br/>?어려운 집안사정을 돕기 위해 상금이 걸린 오디션 프로그램에 출연한 자윤 <br/>?방송이 나간 직후부터 의문의 인물들이 그녀 앞에 나타난다. <br/>?자윤의 주변을 맴돌며 날카롭게 지켜보는 남자 ‘귀공자’  <br/>?그리고 과거 사고가 일어난 시점부터 사라진 아이를 찾던 ‘닥터 백’과 ‘미스터 최’까지 <br/>?자신은 전혀 기억하지 못하는 그들의 등장으로  <br/>?자윤은 혼란에 휩싸이게 되는데...!<br/>?<br/>?그들이 나타난 후 모든 것이 바뀌었다.,https://movie-phinf.pstatic.net/20180710_211/1531198746645nsdKN_JPEG/movie_image.jpg?type=m203_290_2,https://movie-phinf.pstatic.net/20180710_211/1531198746645nsdKN_JPEG/movie_image.jpg?type=m203_290_3,https://kakaotv.daum.net/embed/player/cliplink/vab16fffRC2XlHmRP77Bh2P@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,마녀,박훈정,김다미,조민수,박희순,한국,드라마,125분,15세이상관람가,2018.06.27,7,3901530,3188898,77.65,test_plt_7.png,06_500up 600down,04_300up 400down,FALSE
8,20173202,유통회사 알바생 종수(유아인)는 배달을 갔다가 어릴 적 같은 동네에서 살았던 해미(전종서)를 만나고 <br/>?그녀에게서 아프리카 여행을 간 동안 자기가 키우는 고양이를 돌봐 달라는 부탁을 받는다.<br/>?여행에서 돌아온 해미는 아프리카에서 만난 벤(스티븐 연)이라는 정체불명의 남자를 종수에게 소개한다.<br/>?<br/>?어느 날 벤은 해미와 함께 종수의 집으로 찾아와 자신의 비밀스러운 취미에 대해 고백한다.<br/>?그때부터 종수는 무서운 예감에 사로잡히게 되는데...,https://movie-phinf.pstatic.net/20180430_157/1525055069155UyYXg_JPEG/movie_image.jpg?type=m203_290_2,https://movie-phinf.pstatic.net/20180430_157/1525055069155UyYXg_JPEG/movie_image.jpg?type=m203_290_3,https://kakaotv.daum.net/embed/player/cliplink/vf4caCH5e5jCCmxQmaHQouH@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,버닝,이창동,유아인,스티븐 연,전종서,한국,미스터리,147분,19세이상관람가,2018.05.17,8,540641,528153,97.64,test_plt_8.png,03_200up 300down,01_50up 100down,FALSE
9,20183084,영국의 한적한 시골마을에서 <br/>?마음씨 고운 화가 ‘비’의 사랑을 듬뿍 받으며 행복하게 살고 있던 ‘피터 래빗’과 친구들<br/>? <br/>?그러던 어느 날!<br/>?런던에서 온 깔끔쟁이 ‘토마스’가 ‘피터 래빗’이 가장 좋아하는 당근밭 출입을 막아버린다. <br/>?<br/>?“이대로 러 설 순 없다!”<br/>?<br/>?‘피터 래빗’과 친구들은 당근밭에 다시 들어가기 위한 작전을 짜고  <br/>?‘토마스’는 토끼들과 평화롭게 지내고 싶어하는 ‘비’의 눈치를 보며 <br/>?몰래 토끼들을 물리칠 계획을 세우는데…<br/>?과연 ‘피터 래빗’과 친구들의 작전은 성공할 수 있을까?,https://movie-phinf.pstatic.net/20180518_184/1526623828589VITpW_JPEG/movie_image.jpg?type=m203_290_2,https://movie-phinf.pstatic.net/20180518_184/1526623828589VITpW_JPEG/movie_image.jpg?type=m203_290_3,https://kakaotv.daum.net/embed/player/cliplink/v45c1OEO11ER1TgjPPTqojs@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,피터 래빗,윌 글럭,도널 글리슨,로즈 번,샘 닐,미국,미스터리,94분,전체관람가,2018.05.16,9,391706,388300,99.12,test_plt_9.png,01_50up 100down,00_50down,FALSE
10,20183801,선택해 TRUTH OR DARE<br/>?무엇을 선택하든 공포는 시작될 거야,https://movie-phinf.pstatic.net/20180503_37/1525332298689zgK17_JPEG/movie_image.jpg?type=m203_290_2,https://movie-phinf.pstatic.net/20180503_37/1525332298689zgK17_JPEG/movie_image.jpg?type=m203_290_3,https://kakaotv.daum.net/embed/player/cliplink/v3ad00t2HEKLt9pgpSHZSHZ@my?service=daum_movie&autoplay=true&profile=HIGH&playsinline=true,트루스 오어 데어,제프 와드로,루시 헤일,타일러 포시,바이올렛 빈,미국,애니메이션,99분,15세이상관람가,2018.05.22,10,303361,310956,97.56,test_plt_10.png,00_50down,00_50down,TRUE
